"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.dgr.controller","src/com/dgr/controller/HelloWorld.java","2","10","System.out.print is used","Java Logging Rules","SystemPrintln"
"2","com.dgr.controller","src/com/dgr/controller/TestRequestMappingUrl.java","3","16","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"3","com.dgr.controller","src/com/dgr/controller/TestRequestMappingUrl.java","2","18","System.out.print is used","Java Logging Rules","SystemPrintln"
"4","com.dgr.controller","src/com/dgr/controller/TestRequestMappingUrl.java","3","30","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"5","com.dgr.controller","src/com/dgr/controller/TestRequestMappingUrl.java","2","32","System.out.print is used","Java Logging Rules","SystemPrintln"
"6","com.dgr.controller","src/com/dgr/controller/TestRequestMappingUrl.java","3","44","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"7","com.dgr.controller","src/com/dgr/controller/TestRequestMappingUrl.java","2","46","System.out.print is used","Java Logging Rules","SystemPrintln"
"8","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","1","26","Class names should begin with an uppercase character","Naming Rules","ClassNamingConventions"
"9","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","26","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"10","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"11","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","28","Private field 'user' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"12","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","30","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"13","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","32","Local variable 'mav' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"14","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","38","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"15","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","40","Local variable 'mav' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","49","JUnit 4 tests that execute tests should use the @Test annotation","Migration Rules","JUnit4TestShouldUseTestAnnotation"
"17","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","50","Avoid variables with short names like pk","Naming Rules","ShortVariable"
"18","com.dgr.controller","src/com/dgr/controller/testRequestMappingParams.java","3","50","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
